A0ADemolishStructure	_("Demolish Structure")
NX-CyborgMiss	"*NX-CyborgMiss*"
NX-CyborgPulseLas	"*NX-CyborgPulseLas*"
NX-Cyb-PulseLas-JUMP	"*NX-Cyb-PulseLas-JUMP*"
NX-Cyb-Rail1	"*NX-Cyb-Rail1*"
NX-Cyb-Rail1-JUMP	"*NX-Cyb-JUMP*"
NX-Emp-MedArtMiss-Pit	"*NX-Emp-MedArtMiss-Pit*"
NX-Emp-MultiArtMiss-Pit	"*NX-Emp-MultiArtMiss-Pit*"
NX-Emp-Plasma-Pit	"*NX-Emp-Plasma-Pit*"
NX-H-BeamLas-Hover	"*NX-H-BeamLas-Hover*"
NX-H-CBS-Hover	"*NX-H-CBS-Hover*"
NX-H-HvMiss-Hover	"*NX-H-HvMiss-Hover*"
NX-H-Rail2-VTOL	"*NX-H-Rail2-VTOL*"
NX-H-Rail3-Hover	"*NX-H-Rail3-Hover*"
NX-L-Flash-Hover	"*NX-L-Flash-Hover*"
NX-L-Link-Hov	"*NX-L-Link-Hov*"
NX-L-Missile-A-T-VTOL	"*NX-L-ASMiss-VTOL*"
NX-L-Missile-MdArt-Hover	"*NX-L-MdMiss-Hover*"
NX-L-PulseLas-VTOL	"*NX-L-PulseLas-VTOL*"
NX-L-Rail1-VTOL	"*NX-L-Rail1-VTOL*"
NX-L-Repair-Hover	"*NX-L-Repair-Hover*"
NX-L-Sens-Hov	"*NX-L-Sens-Hov*"
NX-M-Bomb2-VTOL	"*NX-M-Bomb2-VTOL*"
NX-M-Bomb4-VTOL	"*NX-M-Bomb4-VTOL*"
NX-M-Com-Hover	"*NX-M-Com-Track*"
NX-M-Con-Hover	"*NX-M-Con-Hover*"
NX-M-HvSam-Hover	"*NX-M-HvSam-Hover*"
NX-M-Link-Hover	"*NX-M-Link-Hover*"
NX-M-Missile-A-T-Hover	"*NX-M-ATMiss-Hov*"
NX-M-PulseLas-Hover	"*NX-M-Laser2-Hover*"
NX-M-Rail2-Hover	"*NX-M-Rail2-Hover*"
NX-M-Strike-Hover	"*NX-M-Strike-Hover*"
NX-M-VTOLCBS-Hover	"*NX-M-VTOLCBS-Hover*"
NX-Tower-ATMiss	"*NX-Tower-ATMiss*"
NX-Tower-PulseLas	"*NX-Tower-PulseLas*"
NX-Tower-Rail1	"*NX-Tower-Rail1*"
NX-WallTower-BeamLas	"*NX-WallTower-BeamLas*"
NX-WallTower-Rail2	"*NX-WallTower-Rail2*"
NX-WallTower-Rail3	"*NX-WallTower-Rail3*"
OilDrum	_("Oil Drum")
OilResource	_("Oil Resource")
OilTower	"*Oil Tower*"
OldFactory	"*OldFactory*"
P0-AASite-Laser	_("Stormbringer Emplacement")
P0-AASite-SAM1	_("Avenger SAM Site")
P0-AASite-SAM2	_("Vindicator SAM Site")
P0-AASite-Sunburst	_("Sunburst AA Site")
P0-AATower-Sunburst-Arch	"Thermal Sunburst AA Tower"
P0cam3CobCONTrk	_("Truck")
P0cam3HHPyHvyMGHTrk	"Heavy MG HPython Half-Tracks"
P0cam3HHPyTHvyMGHTrk	"Twin Heavy MG Heavy HHPython Tracks"
P0cam3HPyAsltGnTrk	"Assault Gun HPython Tracks"
P0cam3HPyFlakHT	"AA Flak Cannon HPython Half-tracks"
P0cam3HPyHPVcanTrk	"Hyper Velocity Cannon HPython Tracks"
P0cam3HPyHvyMGHTrk	"Twin Heavy MG HPython Half-Tracks"
P0cam3HPyHvyMGTrk	"Heavy MG HPython Tracks"
P0cam3HPyTHvyMGHTrk	"Twin Heavy MG Heavy HPython Tracks"
P0cam3HvyPyAsltGnTrk	"Assault Gun HvyPython Tracks"
P0cam3HvyPyHPVcanTrk	"Hyper Velocity Cannon HvyPython Tracks"
P0cam3PyAsltGnTrk	_("Assault Gun Python Tracks")
P0cam3PyFlakHT	_("AA Flak Cannon Python Half-tracks")
P0cam3PyHPVcanTrk	_("Hyper Velocity Cannon Python Tracks")
P0cam3PyHvyATTrk	_("Tank Killer Python Tracks")
P0cam3PyHvyMGHTrk	"Heavy MG Python Half-Tracks"
P0cam3PyHvyMGTrk	"Heavy MG Python Tracks"
P0CobraFlameTracks	_("Flamer Cobra Tracks")
P0CobraHvyMGHtrack	_("Heavy Machinegun Cobra Half-tracks")
P0CobraLtATRktHtrack	_("Lancer Cobra Half-tracks")
P0CobraMedCnTrks	_("Medium Cannon Cobra Tracks")
P0CobraRepairTrks	_("Repair Cobra Tracks")
P0CobraSpadeTracks	_("Cobra Truck")
P0HCobraRepairTrks	"Repair HCobra Tracks"
P0HPythonComHTracks	"Command Turret HPython Half Tracks"
P0PythonComHTracks	"Command Turret Python Half Tracks"
P0PythonComTracks	_("Command Turret Python Tracks")
P0PythonHvyCnTrks	_("Heavy Cannon Python Tracks")
P6-L-Bomb1-V	"*Skirmish BOMBVTOL*"
P6-L-LTAT-V	"*Skirmish ATVTOL*"
P6-M-QMG1-HT	"*P6-M-QMG1-HT*"
Panther-Helicopter-Phosphor	"Panther Helicopter Phosphor"
Panther-Helicopter-Thermite	"Panther Helicopter Thermite"
PantherHoverPulseLas	_("Pulse Laser Panther Hover")
Panther-Sup-Helicopter-Phosphor	"Superior Panther Helicopter Phosphor"
Panther-Sup-Helicopter-Thermite	"Superior Panther Helicopter Thermite"
PantherSupHoverPulseLas	"Pulse Laser Superior Panther Hover"
PBomb	_("Proximity Bomb Turret")
PHhytonHTrackAssGun	"Assault Gun HPython Half Track"
PhytonHoverAssGun	_("Assault Gun Python Hover")
PhytonHTrackAssGun	_("Assault Gun Python Half Track")
Pickup	"*Pickup*"
PillBox1	_("Machinegun Bunker")
PillBox2	_("Twin Machinegun Bunker")
PillBox3	_("Heavy Machinegun Bunker")
PillBox4	_("Light Cannon Bunker")
PillBox5	_("Flamer Bunker")
PillBox6	_("Lancer Bunker")
PillBox-Cannon6	_("Twin Assault Cannon Bunker")
PillBox-Rail6	"Incendiary Twin Rail Bunker"
Pillbox-RotMG	_("Rotary MG Bunker")
Pipe	"*Pipe*"
Pipe1	"*Pipe1*"
Pipe1A	"*PipeFull*"
Pipe2A	"*PipeEnd*"
Pipe3A	"*PipeCollapsed*"
PlasmaHeavy	"*Heavy Plasma Launcher*"
PlasmiteFlamer	_("Plasmite Flamer")
Plasmite-flamer-bunker	_("Plasmite Flamer Bunker")
Plasteel-Atmiss	"Plasteel Scourge Missile"
Plasteel-Cannon6TwinAslt-Rail	"Plasteel Twin Assault Rail"
Plasteel-EMP	"Plasteel EMP Cannon"
Plasteel-HeavyLaser-Gat	"Plasteel Heavy Laser Rotary"
Plasteel-HeavyLaser-Inc-Aslt	"Plasteel Heavy Laser Incendiary Assault"
Plasteel-Laser2PULSEMk1-Inc	"Plasteel Incendiary Pulse Laser"
Plasteel-PulseLas	"Plasteel Pulse Laser"
Plasteel-Rail2	"Plasteel Rail Gun"
Plasteel-Rail3	"Plasteel Gauss Cannon"
Plasteel-RailGun1Mk1-Gat-Twn	"Plasteel Needle Gun Twin Rotary"
Plasteel-RailGun2Mk1-Twn-Inc	"Plasteel Twin Rail Gun Incendiary"
Plasteel-Railgun-Flak	"Plasteel Railgun Flak"
Plasteel-TwinAssaultGun	"Plasteel Twin Assault Gun"
Powlab	"Powerlab"
program1	"*TEST - program #1*"
Pylon	"*Pylon*"
PythonComTracks	_("Command Turret Python Tracks")
PythonGaussTracks	_("Gauss Cannon Python Tracks")
PythonHoverHVC	_("Hyper Velocity Cannon Python Hover")
PythonHoverInferno	_("Inferno Python Hover")
PythonHPVHalfTrack	"HPV Python Half Track"
PythonHvyCnTrks	_("Heavy Cannon Python Tracks")
PythonHvyMortarTrack	"Bombard Python Tracks"
PythonIncMortarTrack	"Incendiary Mortar Python Tracks"
PythonLtCnTrks	_("Light Cannon Python Tracks")
PythonMedCanTracks	_("Medium Cannon Python Tracks")
PythonMedCnTrks	_("Medium Cannon Python Tracks")
PythonPulseTracks	_("Pulse Laser Python Tracks")
PythonRotMortarTrack	"Pepperpot Python Tracks"
PythonScourgeTracks	_("Scourge Python Tracks")
PythonTKHalfTracks	"Tank Killer Python HalfTracks"
PythonTKTracks	_("Tank Killer Python Tracks")
QuadMg1AAGun	_("Hurricane AA Turret")
QuadRotAAGun	_("Whirlwind AA Turret")
RadarDetector	_("Radar Detector")
RadarProgram	"*TEST - Radar Program*"
RailGun1Mk1	_("Needle Gun")
RailGun1-VTOL	_("VTOL Needle Gun")
RailGun2Mk1	_("Rail Gun")
RailGun2-VTOL	_("VTOL Rail Gun")
RailGun3Mk1	_("Gauss Cannon")
R-Comp-CommandTurret01	_("Command Turret")
R-Comp-CommandTurret02	_("Command Turret II")
R-Comp-CommandTurret03	_("Command Turret III")
R-Comp-CommandTurret04	_("Command Turret IV")
R-Comp-MissileCodes01	_("Missile Targeting Codes") 
R-Comp-MissileCodes02	_("Second Level Missile Targeting Codes")
R-Comp-MissileCodes03	_("Third Level Missile Firing Codes")
R-Comp-SynapticLink	_("Synaptic Link")
R-Cyborg-Armor-Heat01	_("Cyborg Thermal Armor")
R-Cyborg-Armor-Heat02	_("Cyborg Thermal Armor Mk2")
R-Cyborg-Armor-Heat03	_("Cyborg Thermal Armor Mk3")
R-Cyborg-Armor-Heat04	_("Cyborg High Intensity Thermal Armor")
R-Cyborg-Armor-Heat05	_("Cyborg High Intensity Thermal Armor Mk2")
R-Cyborg-Armor-Heat06	_("Cyborg High Intensity Thermal Armor Mk3")
R-Cyborg-Armor-Heat07	_("Cyborg Superdense Thermal Armor")
R-Cyborg-Armor-Heat08	_("Cyborg Superdense Thermal Armor Mk2")
R-Cyborg-Armor-Heat09	_("Cyborg Superdense Thermal Armor Mk3")
R-Cyborg-Hvywpn-Acannon	_("Super Auto-Cannon Cyborg")
R-Cyborg-Hvywpn-A-T	_("Super Scourge Cyborg")
R-Cyborg-Hvywpn-HPV	_("Super HPV Cyborg")
R-Cyborg-Hvywpn-Mcannon	_("Super Heavy-Gunner")
R-Cyborg-Hvywpn-PulseLsr	_("Super Pulse Laser Cyborg")
R-Cyborg-Hvywpn-RailGunner	_("Super Rail-Gunner")
R-Cyborg-Hvywpn-TK	_("Super Tank-Killer Cyborg")
R-Cyborg-Jump01	_("Cyborg Jump Pack")
R-Cyborg-Legs01	_("Cyborg Propulsion")
R-Cyborg-Legs02	_("Cyborg Propulsion II")
R-Cyborg-Legs03	_("Cyborg Propulsion III")
R-Cyborg-Metals01	_("Cyborg Composite Alloys")
R-Cyborg-Metals02	_("Cyborg Composite Alloys Mk2")
R-Cyborg-Metals03	_("Cyborg Composite Alloys Mk3")
R-Cyborg-Metals04	_("Cyborg Dense Composite Alloys")
R-Cyborg-Metals05	_("Cyborg Dense Composite Alloys Mk2")
R-Cyborg-Metals06	_("Cyborg Dense Composite Alloys Mk3")
R-Cyborg-Metals07	_("Cyborg Superdense Composite Alloys")
R-Cyborg-Metals08	_("Cyborg Superdense Composite Alloys Mk2")
R-Cyborg-Metals09	_("Cyborg Superdense Composite Alloys Mk3")
R-Cyborg-Sys-ComEng	"*NOT USED Combat Engineer*"
R-Cyborg-Sys-Mechanic	"*NOT USED Cyborg Mechanic*"
R-Cyborg-Transport	_("Cyborg Transport")
R-Cyborg-Wpn-ATMiss-Grd	"*NOT USED Scourge Cyborg*"
R-Cyborg-Wpn-ATMiss-Jump	_("Jump Scourge")
R-Cyborg-Wpn-BB	_("Bunker Blaster Cyborg")
R-Cyborg-Wpn-BB-Jump	_("Jump Bunker Blaster")
R-Cyborg-Wpn-Cannon	_("Heavy Gunner Cyborg")
R-Cyborg-Wpn-Cannon-Jump	_("Jump Heavy Gunner")
R-Cyborg-Wpn-Flamer	_("Flamer Cyborg")
R-Cyborg-Wpn-Grenade	"*NOT USED Grenadier Cyborg*"
R-Cyborg-Wpn-Laser1-Grd	"*NOT USED Flashlight Gunner Cyborg*"
R-Cyborg-Wpn-Laser1-Jump	_("Jump Flashlight Gunner")
R-Cyborg-Wpn-MG	_("Machinegunner Cyborg")
R-Cyborg-Wpn-Rail1-Grd	"*NOT USED Needle Gunner Cyborg*"
R-Cyborg-Wpn-Rail1-Jump	_("Jump Needle Gunner")
R-Cyborg-Wpn-Rocket	"*NOT USED Lancer Cyborg*"
R-Cyborg-Wpn-Rocket-Jump	_("Jump Lancer")
R-Cyborg-Wpn-RotMG-Grd	"*NOT USED Assault Gunner Cyborg*"
R-Cyborg-Wpn-RotMG-Jump	_("Jump Assault Gunner")
R-Cyborg-Wpn-Thermite	"*NOT USED Thermite Flamer Cyborg*"
R-Defense-AA-Laser	_("Stormbringer Emplacement")
R-Defense-AASite-QuadBof	_("AA Flak Cannon Emplacement")
R-Defense-AASite-QuadMg1	_("Hurricane AA Site")
R-Defense-AASite-QuadRotMg	_("Whirlwind AA Site")
R-Defense-AASite-TwinBof	_("Tornado AA Flak Site")
R-Defense-Cannon6	_("Twin Assault Cannon Bunker")
R-Defense-EMPCannon	_("EMP Cannon Tower")
R-Defense-Emplacement-HPVcannon	_("Hyper Velocity Cannon Emplacement")
R-Defense-EMPMortar	_("EMP Mortar Pit")
R-Defense-GuardTower-ATMiss	_("Scourge Missile Tower")
R-Defense-GuardTower-Rail1	_("Needle Gun Tower")
R-Defense-HardcreteGate	_("Hardcrete Gate")
R-Defense-HardcreteWall	_("Hardcrete")
R-Defense-HardcreteWall-NP	_("NP-Hardcrete")
R-Defense-HeavyLas	_("Heavy Laser Emplacement")
R-Defense-Howitzer	_("Howitzer Emplacement")
R-Defense-Howitzer-Incenediary	_("Incendiary Howitzer Emplacement")
R-Defense-HvyArtMissile	_("Archangel Missile Battery")
R-Defense-HvyA-Trocket	_("Tank Killer Emplacement")
R-Defense-HvyFlamer	_("Inferno Bunker")
R-Defense-HvyHowitzer	_("Ground Shaker Emplacement")
R-Defense-HvyMor	_("Bombard Pit")
R-Defense-IDFRocket	_("Ripple Rocket Battery")
R-Defense-MassDriver	_("Mass Driver Fortress")
R-Defense-MdArtMissile	_("Seraph Missile Battery")
R-Defense-MortarPit	_("Mortar Pit")
R-Defense-MortarPit-Incenediary	_("Incendiary Mortar Pit")
R-Defense-MRL	_("Mini-Rocket Battery")
R-Defense-Pillbox01	_("Machinegun Bunker")
R-Defense-Pillbox03	_("Heavy Machinegun Bunker")
R-Defense-Pillbox04	_("Light Cannon Bunker")
R-Defense-Pillbox05	_("Flamer Bunker")
R-Defense-Pillbox06	_("Lancer Tower")
R-Defense-Pillbox-RotMG	"*NOT USED Rotary MG Bunker*"
R-Defense-PlasmaCannon	_("Plasma Cannon Emplacement")
R-Defense-PlasmiteFlamer	_("Plasmite Flamer Bunker")
R-Defense-PrisLas	_("Flashlight Emplacement")
R-Defense-PulseLas	_("Pulse Laser Tower")
R-Defense-Rail2	_("Rail Gun Emplacement")
R-Defense-Rail3	_("Gauss Cannon Emplacement")
R-Defense-RotCannon	"*NOT USED Assault Cannon Emplacement*"
R-Defense-RotHow	_("Hellstorm Emplacement")
R-Defense-RotMG	_("Rotary MG Bunker")
R-Defense-RotMor	_("Pepperpot Pit")
R-Defense-SamSite1	_("Avenger SAM Site")
R-Defense-SamSite2	_("Vindicator SAM Site")
R-Defense-Sunburst	_("Sunburst AA Site")
R-Defense-Super-Cannon 	_("Cannon Fortress")
R-Defense-Super-Missile 	_("Missile Fortress")
R-Defense-Super-Rocket 	_("Heavy Rocket Bastion")
R-Defense-TankTrap01	_("Tank Traps")
R-Defense-TankTrap02	_("Dragon's Teeth")
R-Defense-Tower01	_("Machinegun Guard Tower")
R-Defense-Tower03	_("Heavy Machinegun Tower")
R-Defense-Tower04	_("Flamer Tower")
R-Defense-Tower05	_("Lancer Tower")
R-Defense-Tower06	_("Mini-Rocket Tower")
R-Defense-Wall-RotMg	_("Assault Gun Hardpoint")
R-Defense-WallTower01	_("Heavy Machinegun Hardpoint")
R-Defense-WallTower02	_("Light Cannon Hardpoint")
R-Defense-WallTower03	_("Medium Cannon Hardpoint")
R-Defense-WallTower04	_("Heavy Cannon Hardpoint")
R-Defense-WallTower05	_("Flamer Hardpoint")
R-Defense-WallTower06	_("Lancer Hardpoint")
R-Defense-WallTower-A-Tmiss	_("Scourge Missile Hardpoint")
R-Defense-WallTower-DoubleAAgun	_("AA Flak Cannon Hardpoint")
R-Defense-WallTower-HPVcannon	_("Hyper Velocity Cannon Hardpoint")
R-Defense-WallTower-HvyA-Trocket	_("Tank Killer Hardpoint")
R-Defense-WallTower-HvyFlamer	"*NOT USED Inferno Hardpoint*"
R-Defense-WallTower-PulseLas	_("Pulse Laser Hardpoint")
R-Defense-WallTower-QuadRotAA	_("Whirlwind Hardpoint")
R-Defense-WallTower-Rail2	_("Rail Gun Hardpoint")
R-Defense-WallTower-Rail3	_("Gauss Cannon Hardpoint")
R-Defense-WallTower-SamHvy	_("Vindicator Hardpoint")
R-Defense-WallTower-SamSite	_("Avenger Hardpoint")
R-Defense-WallTower-TwinAGun	_("Twin Assault Gun Hardpoint")
R-Defense-WallUpgrade01	_("Improved Hardcrete")
R-Defense-WallUpgrade02	_("Improved Hardcrete Mk2")
R-Defense-WallUpgrade03	_("Improved Hardcrete Mk3")
R-Defense-WallUpgrade04	_("Supercrete")
R-Defense-WallUpgrade05	_("Supercrete Mk2")
R-Defense-WallUpgrade06	_("Supercrete Mk3")
R-Defense-WallUpgrade07	_("Plascrete")
R-Defense-WallUpgrade08	_("Plascrete Mk2")
R-Defense-WallUpgrade09	_("Plascrete Mk3")
R-Defense-WallUpgrade10	_("Plasteel")
R-Defense-WallUpgrade11	_("Plasteel Mk2")
R-Defense-WallUpgrade12	_("Plasteel Mk3")
R-Defense-Wall-VulcanCan	_("Assault Cannon Hardpoint")
R-DefenssLas	_("Flashlight Emplacement")
RepairCentre	"*Repair Center*"
Retaliation-Helicopter-HvyLaser	"Retaliation Helicopter HvyLaser"
Retaliation-Helicopter-Phosphor	"Retaliation Helicopter Phosphor"
Retaliation-Helicopter-Pulse	"Retaliation Helicopter Pulse"
Retaliation-Helicopter-Railgun	"Retaliation Helicopter Railgun"
Retaliation-Helicopter-Scourge	"Retaliation Helicopter Scourge"
Retaliation-Helicopter-Thermite	"Retaliation Helicopter Thermite"
RetreHoverFlashLight	_("Flashlight Retribution Hover")
Retribution-Helicopter-HvyLaser	"Retribution Helicopter HvyLaser"
Retribution-Helicopter-Phosphor	"Retribution Helicopter Phosphor"
Retribution-Helicopter-Pulse	"Retribution Helicopter Pulse"
Retribution-Helicopter-Railgun	"Retribution Helicopter Railgun"
Retribution-Helicopter-Scourge	"Retribution Helicopter Scourge"
Retribution-Helicopter-Thermite	"Retribution Helicopter Thermite"
R-Lab-AdvWarfare	_("Advanced Warfare")
R-Lab-Chemical	_("Chemical Laboratory")
R-Lab-Cyborg	_("Cyborg Laboratory")
R-Lab-Electronics	_("Electronics Laboratory")
R-Lab-Engineering	_("Engineering Laboratory")
R-Lab-Robotics	_("Robotics Laboratory")
Rocket-BB	_("Bunker Buster")
Rocket-HvyA-T	_("Tank Killer")
Rocket-IDF	_("Ripple Rockets")
Rocket-IDF-Emp	"*Rocket-IDF-Emp*"
Rocket-LtA-T	_("Lancer")
Rocket-MRL	_("Mini-Rocket Array")
Rocket-MRL-pit	"*Rocket-MRL-pit*"
Rocket-Pod	_("Mini-Rocket Pod")
Rocket-Sunburst	_("Sunburst AA")
RocketSuper	_("Heavy Rocket Bastion")
Rocket-VTOL-BB	_("VTOL Bunker Buster")
Rocket-VTOL-HvyA-T	_("VTOL Tank Killer")
Rocket-VTOL-LtA-T	_("VTOL Lancer")
Rocket-VTOL-Pod	_("VTOL Mini-Rocket")
Rocket-VTOL-Sunburst	_("VTOL Sunburst AA")
RockPodArchHCobraHTracks	"Rock-Pod-Arch HCobra Half-Tracks"
RockPodArchQuadHCobraHTracks	"Rock-Pod-Arch-Quad HCobra Half-Tracks"
RockPodArchTwinHCobraHTracks	"Rock-Pod-Arch-Twin HCobra Half-Tracks"
RockPodMRAQuadHCobraHTracks	"Rock-Pod-MRA-Quad HCobra Half-Tracks"
RockPodMRATwinHCobraHTracks	"Rock-Pod-MRA-Twin HCobra Half-Tracks"
RockPodQuadHCobraHTracks	"Rock-Pod-Quad HCobra Half-Tracks"
RockPodTwnHCobraHTracks	"Rock-Pod-Twn HCobra Half-Tracks"
Rotarywepslab	 "Rotaryweaponslab"
R-Struc-CommandRelay	_("Command Relay Post")
R-Struc-Factory-Cyborg	_("Cyborg Factory")
R-Struc-Factory-Cyborg-Upgrade01	"*NOT USED Automated Cyborg Production*"
R-Struc-Factory-Cyborg-Upgrade02	"*NOT USED Automated Cyborg Production Mk2*"
R-Struc-Factory-Cyborg-Upgrade03	"*NOT USED Automated Cyborg Production Mk3*"
R-Struc-Factory-Cyborg-Upgrade04	"*NOT USED Robotic Cyborg Production*"
R-Struc-Factory-Cyborg-Upgrade05	"*NOT USED Robotic Cyborg Production Mk2*"
R-Struc-Factory-Cyborg-Upgrade06	"*NOT USED Robotic Cyborg Production Mk3*"
R-Struc-Factory-Cyborg-Upgrade07	"*NOT USED Advanced Cyborg Production*"
R-Struc-Factory-Cyborg-Upgrade08	"*NOT USED Advanced Cyborg Production Mk2*"
R-Struc-Factory-Cyborg-Upgrade09	"*NOT USED Advanced Cyborg Production Mk3*"
R-Struc-Factory-Module	_("Factory Module")
R-Struc-Factory-Upgrade01	_("Automated Manufacturing")
R-Struc-Factory-Upgrade02	"*NOT USED Automated Manufacturing Mk2*"
R-Struc-Factory-Upgrade03	"*NOT USED Automated Manufacturing Mk3*"
R-Struc-Factory-Upgrade04	_("Robotic Manufacturing")
R-Struc-Factory-Upgrade05	"*NOT USED Robotic Manufacturing Mk2*"
R-Struc-Factory-Upgrade06	"*NOT USED Robotic Manufacturing Mk3*"
R-Struc-Factory-Upgrade07	_("Advanced Manufacturing")
R-Struc-Factory-Upgrade08	"*NOT USED Advanced Manufacturing Mk2*"
R-Struc-Factory-Upgrade09	_("Self-Replicating Manufacturing")
R-Struc-Factory-Upgrade10	_("Advanced Manufacturing Mk3")
R-Struc-Materials01	_("Reinforced Base Structure Materials")
R-Struc-Materials02	_("Reinforced Base Structure Materials Mk2")
R-Struc-Materials03	_("Reinforced Base Structure Materials Mk3")
R-Struc-Materials04	_("Hardened Base Structure Materials")
R-Struc-Materials05	_("Hardened Base Structure Materials Mk2")
R-Struc-Materials06	_("Hardened Base Structure Materials Mk3")
R-Struc-Materials07	_("Advanced Base Structure Materials")
R-Struc-Materials08	_("Advanced Base Structure Materials Mk2")
R-Struc-Materials09	_("Advanced Base Structure Materials Mk3")
R-Struc-PowerModuleMk1	_("Power Module")
R-Struc-Power-Upgrade01	_("Gas Turbine Generator")
R-Struc-Power-Upgrade01b	_("Gas Turbine Generator Mk2")
R-Struc-Power-Upgrade01c	_("Gas Turbine Generator Mk3")
R-Struc-Power-Upgrade02	_("Vapor Turbine Generator")
R-Struc-Power-Upgrade03	_("Vapor Turbine Generator Mk2")
R-Struc-Power-Upgrade03a	_("Vapor Turbine Generator Mk3")
R-Struc-RepairFacility	_("Repair Facility")
R-Struc-Research-Module	_("Research Module")
R-Struc-Research-Upgrade01	_("Synaptic Link Data Analysis")
R-Struc-Research-Upgrade02	_("Synaptic Link Data Analysis Mk2")
R-Struc-Research-Upgrade03	_("Synaptic Link Data Analysis Mk3")
R-Struc-Research-Upgrade04	_("Dedicated Synaptic Link Data Analysis")
R-Struc-Research-Upgrade05	_("Dedicated Synaptic Link Data Analysis Mk2")
R-Struc-Research-Upgrade06	_("Dedicated Synaptic Link Data Analysis Mk3")
R-Struc-Research-Upgrade07	_("Neural Synapse Research Brain")
R-Struc-Research-Upgrade08	_("Neural Synapse Research Brain Mk2")
R-Struc-Research-Upgrade09	_("Neural Synapse Research Brain Mk3")
R-Struc-RprFac-Upgrade01	_("Automated Repair Facility")
R-Struc-RprFac-Upgrade02	"*NOT USED Automated Repair Facility Mk2*"
R-Struc-RprFac-Upgrade03	"*NOT USED Automated Repair Facility Mk3*"
R-Struc-RprFac-Upgrade04	_("Robotic Repair Facility")
R-Struc-RprFac-Upgrade05	"*NOT USED Robotic Repair Facility Mk2*"
R-Struc-RprFac-Upgrade06	_("Advanced Repair Facility")
R-Struc-RprFac-Upgrade07	_("Robotic Repair Facility Mk3")
R-Struc-RprFac-Upgrade08	_("Advanced Repair Facility Mk2")
R-Struc-RprFac-Upgrade09	_("Advanced Repair Facility Mk3")
R-Struc-VTOLFactory	_("VTOL Factory")
R-Struc-VTOLFactory-Upgrade01	"*NOT USED Robotic VTOL Production*"
R-Struc-VTOLFactory-Upgrade02	"*NOT USED Robotic VTOL Production Mk2*"
R-Struc-VTOLFactory-Upgrade03	"*NOT USED Robotic VTOL Production Mk3*"
R-Struc-VTOLFactory-Upgrade04	"*NOT USED Advanced VTOL Production*"
R-Struc-VTOLFactory-Upgrade05	"*NOT USED Advanced VTOL Production Mk2*"
R-Struc-VTOLFactory-Upgrade06	"*NOT USED Advanced VTOL Production Mk3*"
R-Struc-VTOLPad	_("VTOL Rearming Pad")
R-Struc-VTOLPad-Upgrade01	_("Automated VTOL Rearming")
R-Struc-VTOLPad-Upgrade02	_("Automated VTOL Rearming Mk2")
R-Struc-VTOLPad-Upgrade03	_("Automated VTOL Rearming Mk3")
R-Struc-VTOLPad-Upgrade04	_("Robotic VTOL Rearming")
R-Struc-VTOLPad-Upgrade05	_("Robotic VTOL Rearming Mk2")
R-Struc-VTOLPad-Upgrade06	_("Robotic VTOL Rearming Mk3")
R-Struc-VTOLPad-Upgrade07	_("Robotic VTOL Rearming Mk4")
R-SuperTransport	_("Super Transport")
R-Sys-Autorepair-Cyborg	_("Cyborg Self-Repair")
R-Sys-Autorepair-Cyborg-Upgrade01	_("Automated Cyborg Repair Mk2")
R-Sys-Autorepair-Cyborg-Upgrade02	_("Automated Cyborg Repair Mk3")
R-Sys-Autorepair-Def	_("Defenses Self-Repair")
R-Sys-Autorepair-Def-Upgrade01	_("Automated Defenses Repair Mk2")
R-Sys-Autorepair-Def-Upgrade02	_("Automated Defenses Repair Mk3")
R-Sys-Autorepair-General	_("Auto-Repair")
R-Sys-Autorepair-Struc	_("Base Structure Self-Repair")
R-Sys-Autorepair-Struc-Upgrade01	_("Automated Base Structure Repair Mk2")
R-Sys-Autorepair-Struc-Upgrade02	_("Automated Base Structure Repair Mk3")
R-Sys-Autorepair-Vehicle	_("Vehicle Self-Repair")
R-Sys-Autorepair-Vehicle-Upgrade01	_("Automated Vehicle Repair Mk2")
R-Sys-Autorepair-Vehicle-Upgrade02	_("Automated Vehicle Repair Mk3")
R-Sys-CBSensor-Tower01	_("CB Tower")
R-Sys-CBSensor-Turret01	_("CB Turret")
R-Sys-CBSensor-Upgrade01	_("CB Sensor Upgrade")
R-Sys-CBSensor-Upgrade02	_("CB Sensor Upgrade 2")
R-Sys-CBSensor-Upgrade03	_("CB Sensor Upgrade 3")
R-Sys-ECM-Upgrade01	_("Electronic Countermeasures")
R-Sys-Engineering01	_("Engineering")
R-Sys-Engineering02	_("Improved Engineering")
R-Sys-Engineering03	_("Advanced Engineering")
R-Sys-MobileRepairTurret01	_("Mobile Repair Turret")
R-Sys-MobileRepairTurret-01	_("Mobile Repair Upgrade")
R-Sys-MobileRepairTurret02	_("Heavy Repair Turret")
R-Sys-MobileRepairTurret-02	_("Mobile Repair Upgrade Mk2")
R-Sys-MobileRepairTurretHvy	_("Heavy Repair Turret")
R-Sys-NEXUSrepair	"*R-Sys-NEXUSrepair*"
R-Sys-RadarDetector01	_("Radar Detector")
R-Sys-Resistance	_("Nexus Intruder Program")
R-Sys-Resistance-Circuits	_("Nexus Resistance Circuits")
R-Sys-Resistance-Upgrade01	_("Nexus Resistance Circuits")
R-Sys-Resistance-Upgrade02	_("Nexus Resistance Circuits Mk2")
